,equity,returns,rolling_sharpe_252,rolling_vol_60,drawdown,rolling_turnover_20,rolling_exposure_20
0,1.0,0.0,,,0.0,,
1,1.0,0.0,,,0.0,,
2,1.0,0.0,,,0.0,,
3,1.0,0.0,,,0.0,,
4,1.0,0.0,,,0.0,,
5,1.0,0.0,,,0.0,,
6,1.0,0.0,,,0.0,,
7,1.0,0.0,,,0.0,,
8,1.0,0.0,,,0.0,,
9,1.0,0.0,,,0.0,,
10,1.0,0.0,,,0.0,,
11,1.0,0.0,,,0.0,,
12,1.0,0.0,,,0.0,,
13,1.0,0.0,,,0.0,,
14,1.0,0.0,,,0.0,,
15,1.0,0.0,,,0.0,,
16,1.0,0.0,,,0.0,,
17,1.0,0.0,,,0.0,,
18,1.0,0.0,,,0.0,,
19,1.0,0.0,,,0.0,,0.0
20,1.0,0.0,,,0.0,0.0,0.0
21,1.0,0.0,,,0.0,0.0,0.0
22,1.0,0.0,,,0.0,0.0,0.0
23,1.0,0.0,,,0.0,0.0,0.0
24,1.0,0.0,,,0.0,0.0,0.0
25,1.0,0.0,,,0.0,0.0,0.0
26,1.0,0.0,,,0.0,0.0,0.0
27,1.0,0.0,,,0.0,0.0,0.0
28,1.0,0.0,,,0.0,0.0,0.0
29,1.0,0.0,,,0.0,0.0,0.0
30,1.0,0.0,,,0.0,0.0,0.0
31,1.0,0.0,,,0.0,0.0,0.0
32,1.0,0.0,,,0.0,0.0,0.0
33,1.0,0.0,,,0.0,0.0,0.0
34,1.0,0.0,,,0.0,0.0,0.0
35,1.0,0.0,,,0.0,0.0,0.0
36,1.0,0.0,,,0.0,0.0,0.0
37,1.0,0.0,,,0.0,0.0,0.0
38,1.0,0.0,,,0.0,0.0,0.0
39,1.0,0.0,,,0.0,0.0,0.0
40,1.0,0.0,,,0.0,0.0,0.0
41,1.0,0.0,,,0.0,0.0,0.0
42,1.0,0.0,,,0.0,0.0,0.0
43,1.0,0.0,,,0.0,0.0,0.0
44,1.0,0.0,,,0.0,0.0,0.0
45,1.0,0.0,,,0.0,0.0,0.0
46,1.0,0.0,,,0.0,0.0,0.0
47,0.9994,-0.0006000000000000449,,,-0.0006000000000000449,1.0,0.05
48,1.0048017422561308,0.005404985247279281,,,0.0,1.0,0.1
49,0.9962734416031954,-0.008487545646354455,,,-0.008487545646354455,1.0,0.15
50,1.010629624147825,0.014409881810688141,,,0.0,2.0,0.15
51,1.010629624147825,0.0,,,0.0,2.0,0.15
52,1.010629624147825,0.0,,,0.0,2.0,0.15
53,1.010629624147825,0.0,,,0.0,2.0,0.15
54,1.010629624147825,0.0,,,0.0,2.0,0.15
55,1.010629624147825,0.0,,,0.0,2.0,0.15
56,1.010629624147825,0.0,,,0.0,2.0,0.15
57,1.010629624147825,0.0,,,0.0,2.0,0.15
58,1.010629624147825,0.0,,,0.0,2.0,0.15
59,1.010629624147825,0.0,,0.03623123589220023,0.0,2.0,0.15
60,1.010629624147825,0.0,,0.03623123589220023,0.0,2.0,0.15
61,1.010629624147825,0.0,,0.03623123589220023,0.0,2.0,0.15
62,1.010629624147825,0.0,,0.03623123589220023,0.0,2.0,0.15
63,1.010629624147825,0.0,,0.03623123589220023,0.0,2.0,0.15
64,1.010629624147825,0.0,,0.03623123589220023,0.0,2.0,0.15
65,1.010629624147825,0.0,,0.03623123589220023,0.0,2.0,0.15
66,1.0100232463733363,-0.0006000000000000449,,0.03626473248310844,-0.0006000000000000449,3.0,0.2
67,1.0046309960615774,-0.0053387388172705386,,0.03798075130063421,-0.0059355355739801885,2.0,0.2
68,1.020456638215041,0.01575269150116254,,0.049739485951011644,0.0,2.0,0.2
69,1.0225499567361414,0.002051354700148611,,0.049856705363358705,0.0,2.0,0.2
70,1.02324967996252,0.0006842924609884449,,0.04985435453167145,0.0,1.0,0.25
71,1.0154891627847349,-0.007584187251413854,,0.05246116891990152,-0.007584187251413854,1.0,0.3
72,1.022970898096592,0.007367617091392775,,0.05443984617465255,-0.00027244754763877665,2.0,0.3
73,1.022970898096592,0.0,,0.05443984617465255,-0.00027244754763877665,2.0,0.3
74,1.022970898096592,0.0,,0.05443984617465255,-0.00027244754763877665,2.0,0.3
75,1.022970898096592,0.0,,0.05443984617465255,-0.00027244754763877665,2.0,0.3
